,artist,rank,song,year,lyrics
1492,Exile,46,Nobody's Talking,1990,"

[Verse 1]
Just got home late last night
This old town was a welcome sight
I couldn't wait to see you again
Oh how long it's been

[Verse 2]
When I opened the door, looking all around
You were nowhere to be found
I called our friends just to see
If they might know where you might be

[Chorus]
Nobody's talking, nobody's talking straight
I ask about you and they hesitate
But sooner or later, I'm gonna find out
Whatever it is nobody's talking about

[Verse 3]
I started looking, looking for you
I just didn't know what else to do
Every place I went, it was always the same

[Verse 4]
I just say your name and they turn away
Like they did not hear
What they're not saying is all too clear
In their eyes I see the sympathy
I know there's something they're not telling me

[Chorus]
Nobody's talking, nobody's talking straight
I ask about you and they hesitate
But sooner or later, I'm gonna find out
Whatever it is nobody's talking about

[Instrumental Break]

[Chorus]
Nobody's talking, nobody's talking straight
I ask about you and they hesitate
But sooner or later, I'm gonna find out
Whatever it is nobody's talking about

[Chorus]
Nobody's talking, nobody's talking straight
I ask about you and they hesitate
But sooner or later, I'm gonna find out
Whatever it is

"
1493,The Charlie Daniels Band,47,Mister DJ,1990,"

[Verse]
Mister DJ won't you please play me a song?
Play it for an old boy who's a long, long way from home
With a thousand miles ahead and a thousand miles behind
A dollar in his pocket and a woman on his mind
You can pick out almost anything you choose
Play 'Sweet Home Alabama' or let Waylon sing the blues
I don't care what kind of music just as long as it sounds tough
Don't play any hurting songs because I feel bad enough
Now don't get the wrong impression, I ain't meaning to complain
But it would be Sunday morning and I guess it had to rain
I was doing pretty good until I heard that darned old train
Going who knows where
And I guess the combination's got me feeling kinda low
And all I've got to cheer me up is this all night radio
Why don't you play us something hot and let this eighteen wheeler
Roll my blues away
Well, I called her from a phone booth in St. Paul
When I asked her if she loved me, I got no reply at all
And if that's the way she wants it, that's the way it's going to be
It might hurt a little while but that's all right with me
I've been jamming gears and wondering what went wrong
And then I turned on my radio and I heard a country song
And it kinda keeps me moving, helps me roll on down the line
But when you played that hurting song I almost started crying
Willie drowned in 'Whiskey River' with Hank Jr's rowdy friends
The Oak Ridge Boys sang 'Elvira', Ricky played the mandolin
Them old boys from Alabama put the pedal to the metal
And let it roll, roll on
And I started feeling bad when George stopped loving her today
Why don't you let old Mickey Gilly get down on them eighty eight's
Come on and play us something hot and let this eighteen
Wheeler roll my blues away

[Outro]
Hey Mister DJ, hey Mister DJ[x2]

"
1494,Alabama,48,Southern Star,1990,"

Oh, southern star, how I wish you would shine
And show me the way to get home
Well I'm blue-collar branded, and stuck in a mill
Hard work is a way of life for me
Well I'm too young to live like I'm over the hills
And too old to be wild and free

My heart is onward bound
I'm rolling with the feeling and I can't slow down
I need a guiding light
Shining down to lead me through the night
Oh, southern star, how I wish you would shine
And show me the way to get home

Oh, hey my D.J. friend, would you play me one more song
And let my mind just go and drift away
Now we all have a dream....and a place where we belong
Somewhere we can go and escape

My heart is onward bound
I'm rolling with the feeling and I can't slow down
....I need a guiding light
Shining down to lead me throught the night
Oh, southern star, how I wish you would shine
And show me the way to get home

Oh, southern star, how I wish you would shine
And show me the way to get home...

"
1495,Restless Heart,49,Fast Movin' Train,1990,"

She had a long line of lovers
Mostly the gambling kind
I didn't want to be like the others
And get left behind
I heard about her bad reputation
And how she had a heart of stone
How she'd give a man
A moment of pleasure
To get what she want

I had a weakness for her kind of woman
I could never deny
I knew I would never see it coming
Until I was lost in her eyes
The more I tried to keep her at a distance
The more I became aware
She was breaking down my resistance
Till I no longer cared

Tonight I saw the red red rose
In a yellow moon
Shining on a silhouette
Lying in the shadows of my bedroom
I knew it when we made love
And I couldn't quit calling her name
And I've been hit by another fast movin' train
I've been hit by another fast movin' train

I wondered as I lay there and held her
Why can't this be real?
Why the fear wouldn't let me tell her
How could she make me feel
I doubt it if she would even be around
When the moment comes
I waited till she fell asleep
To whisper
Baby, look what you've done

Tonight I saw the red red rose
In a yellow moon
Shining on a silhouette
Lying in the shadows of my bedroom
I knew it when we made love
And I couldn't quit calling her name
And I've been hit by another fast movin' train

Tonight I saw the red red rose
In a yellow moon
Shining on a silhouette
Lying in the shadows of my bedroom
I knew it when we made love
And I couldn't quit calling her name
And I've been hit by another fast movin' train
I've been hit by another fast movin' train

"
1496,Vern Gosdin,50,Right In The Wrong Direction,1990,"

Well, your office called to say you wouldn't be long
Since when did your boss get a jukebox of his own?
When I called to see how long you'd be they said you'd been long gone
You're headed right in the wrong direction if you wanna come home

Well, you're leaving clues that any ole fool can see
Honey, you're the fool if you think your foolin' me
If you wanna go just let me know, we can sure enough get it all
You're headed right in the wrong direction if you wanna come home

Chorus:
If you want to keep your home you better straighten up your act
'Cause honey, I can love you, I can even help you pack
If you turn around, and come home now, I just might not be gone
You're headed [D] right in the wrong direction honey, if you wanna come home

Well, your headed right in the wrong direction honey, if you wanna come home...

"
1497,Doug Stone,1,In A Different Light,1991,"

Verse 1:
Every morning I watch you
Walk into the office
In your business suit
And matching shoes
With your hair pulled up neatly
You tug at your glasses
And you sit down
Just three desks down
And I watch you in the florescent glare
And my mind drifts away somewhere
And I see

Chours:
You
In a different light
Your hair falling down
With love in your eyes
In my mind
You're a beautiful sight
I see you in a different light
Just the way I saw you last night

Verse 2:
There's girls at the office
The guys always notice
When they walk by
But you're not the type
They don't know what I know
Or somethings' just don't show
Through tailored tweads
And that's fine with me
Let them all think what they want to
As for me when I look at you
I see

Chours:
You
In a different light
Your hair falling down
With love in your eyes
In my mind
You're a beautiful sight
I see you in a different light
Just the way I saw you last night

Chours
Baby it's you
In a different light
Your hair falling down
With love in your eyes
In my mind
You're a beautiful sight
I see you in a different light
Just the way I saw you last night
(x2) until fade

"
1498,George Strait,2,If I Know Me,1991,"

[Verse 1]
We both said some things I know we never meant
And when I slammed the door tonight you wondered where I went
If I know you, you're probably wondering what to do
You're thinking that I'm gone for good, if I know you

[Chorus]
But if I know me, I'll turn this car around
I won't get halfway through town, and I'll be sorry
I'll stop and call, and you'll say you're sorry too
And I'll come running back to you, if I know me

[Verse 2]
Sometimes I lose my head, say things to break your heart
Forgetting if I lost your love, it would tear my world apart
If I know you, you didn't mean one single thing you said
Truth be known, you're dying, crying, lying there in bed

[Chorus]

[Outro]
If I know me, and I know me

"
1499,Diamond Rio,3,Meet In The Middle,1991,"

[Verse 1]
It was seven hundred fence posts from your place to ours
Neither one of us was old enough to drive a car
Sometimes it was raining, sometimes it would shine
We wore out that gravel road between your house and mine

[Chorus]
I'd start walking your way, you'd start walking mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground if we'd both give a little
There ain't no road too long when we meet in the middle

[Verse 2]
It's been seven years tomorrow since we said our vows
Under that old pine tree, you ought to see it now
Standing in the back yard reminding me and you
That if we don't see eye to eye there's something we can do

[Chorus]
I'd start walking your way, you'd start walking mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground if we'd both give a little
There ain't no road too long when we meet in the middle

[Bridge]
Babe I love the way we work it out
That's what love is all about

[Chorus]
I'd start walking your way, you'd start walking mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground if we'd both give a little
Ain't no road too long when we meet in the middle

[Chorus]
I'd start walking your way, you'd start walking mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground if we'd both give a little
Ain't no road too long when we meet in the middle

[Chorus]
I'd start walking your way, you'd start walking mine
[Fade]
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground if we'd both give a little
Ain't no road too long when we meet in the middle

"
1500,Paul Overstreet,4,Heroes,1991,"

[Verse 1]
He drives into the city, works extra hard all day
He finishes up early so he can get away
'Cause there's a blue-eyed kid on second base
Wants Dad to watch him play
And Daddy knows he's waiting so he hurries on his way

[Chorus]
'Cause you know heroes come in every shape and size
Making special sacrifices for others in their lives
No one gives 'em medals, the world don't know their names
But in someone's eyes, they're heroes just the same

[Verse 2]
She rocks her crying baby in the hours before dawn;
She whispers words of hope to help her husband to hold on;
She takes time with the children making sure they know she cares
She's more than just a momma, she's the answer to their prayers

[Chorus]
'Cause you know heroes come in every shape and size
Making special sacrifices for others in their lives
No one gives 'em medals, the world don't know their names
But in someone's eyes, they're heroes just the same

[Verse 3]
Now I don't pretend to know you but I'll bet it's safe to say
There's someone out there somewhere looking up to you today
And they see everything you do except for your mistakes
You may not think you measure up but you got all it takes

[Chorus]
'Cause you know heroes come in every shape and size
Making special sacrifices for others in their lives
No one gives 'em medals, the world don't know their names
But in someone's eyes, they're heroes just the same
No one gives 'em medals, the world don't know their names
But in someone's eyes, they're heroes just the same

[Tag]
Yeah, in someone's eyes they're heroes just the same
Talkin' 'bout heroes
Special kind of heroes
No ordinary heroes
Talkin' 'bout a hero
Special kind of hero

"
1501,Dwight Yoakam,5,You're The One,1991,"

[Chorus]
You're the one
You're the one
That made me cry
You're the one
That laughed at me
Then said goodbye
You're the one
You're the one
That made me blue
So how's it feel
Now that you're the one
It's happened to

[Verse 1]
Now you're back calling me with open arms
What happened to the one you met with all that charm
You say he's gone
And you're alone
Well that's a shame
But if you think real hard
I know you'll see
Just who's to blame

[Chorus]
You're the one
You're the one
That made me cry
You're the one
That laughed at me
Then said goodbye
You're the one
You're the one
That made me blue
So how's it feel
Now that you're the one
It's happened to

[Verse 2]
You're begging me to think about the love we shared
Yet it seems to me not too long ago you didn't care
The love you left
No longer lives
Within my heart
The game you played
So recklessly
Tore it all apart

[Chorus]
You're the one
You're the one
That made me cry
You're the one
That laughed at me
Then said goodbye
You're the one
You're the one
That made me blue
So how's it feel
Now that you're the one
It's happened to

[Tag]
Oh tell me how's it feel now that you're the one
How's it feel to be the one
How's it feel now that you're the one it's happenin' to

"
1502,Mark Chesnutt,6,Blame It On Texas,1991,"

[Verse 1]
Been havin' a ball since I was a boy in Beaumont
Love that town, but I just couldn't stay
Two stepped all the way to Amarillo
Shuffled my way into Santa Fe
Just had to see the sun set out in Frisco
The Golden Gate is great, but it ain't home
Give me a rodeo

[Chorus]
Blame it on Texas, don't blame it on me
I am who I am and that's what I'm gonna be
You can say what you wanna say about my insanity
Blame it on Texas, don't blame it on me

[Verse 2]
Met a girl out in eastern Oklahoma
Her daddy was a Tulsa millionaire
With miles and miles of oil wells, he'd leave her
All a man could want was waitin' there
But one night while she lay sleepin' I slipped away
Like no man in his right mind would do
Call me a fool

[Chorus]
Blame it on Texas, don't blame it on me
I am who I am and that's what I'm gonna be
You can say what you wanna say about my insanity
Blame it on Texas, don't blame it on me

"
1503,Ronnie Milsap,7,Are You Lovin' Me Like I'm Lovin' You,1991,"

Have you ever felt like every eye's on you
Well, that's the way I feel when you walk into a room
And have you ever felt like making love all day
Well, that's the way I feel when you're loving me this way

And I wonder what it is to feel like you
To know someone worships every thing you do
Oh, and even though I know your love is true, yes I do
Sometimes I wonder if you're lovin' me like I'm lovin' you?

Have you ever loved so much it hurt inside
Well, that's the only way my love can be described
And have you ever known how cold this world can be?
Well, all I know is how cold it was until you came to me

Oh, and I wonder what it is to feel like you
To know someone worships every thing you do
Oh, and even though I know your love is true, yes I do
Some times I wonder are you're lovin' me like I'm lovin' you?

Are you lovin' me like I'm lovin' you?
Are you lovin' me like I'm lovin' you?
Are you lovin' me like I'm lovin' you?
Oh, I wonder, are you lovin' me like I'm lovin' you?
Oh, I wonder?...

"
1504,Joe Diffie,8,If The Devil Danced (In Empty Pockets),1991,"

Diablo motors had a hell of a sale, downtown yesterday
Word got around, no money down, take years and years to pay
When I got there the lot was bare, but the salesman said hold on
For a little cash, I got ta two-tone Nash out behind the barn

If the Devil danced in empty pockets, he'd have a ball in mine
With a nine foot grand, a ten piece band and a twelve girl chorus line
I'd raise some loot in a three piece suit, give 'em one dance for a dime
If the Devil Danced in empty pockets, he'd have a ball in mine

Well he said friend it ain't the end let's see what I can do
If you own a home, I've got a loan, tailor made for you
Then above the racket a voice in my jacket said, ""I'll tote the note.""
The devil made me do it, talked me in to it, and that was all she wrote

If the Devil danced in empty pockets, he'd have a ball in mine
With a nine foot grand, a ten piece band and a twelve girl chorus line
I'd raise some loot in a three piece suit, give 'em one dance for a dime
If the Devil Danced in empty pockets, he'd have a ball in mine

They say debt is a bottomless pit where the devil likes to play
I'd sell my soul to get out of this hole, but there'd be hell to pay

If the Devil danced in empty pockets, he'd have a ball in mine
With a nine foot grand, a ten piece band and a twelve girl chorus line
I'd raise some loot in a three piece suit, give 'em one dance for a dime
If the Devil Danced in empty pockets, he'd have a ball in mine

"
1505,Dolly Parton With Ricky Van Shelton,9,Rockin' Years,1991,
1506,Garth Brooks,10,The Thunder Rolls,1991,"

[Verse 1]
Three thirty in the mornin', not a soul in sight
The city's lookin' like a ghost town on a moonless summer night
Raindrops on the windshield, there's a storm movin' in
He's headin' back from somewhere that he never should have been

[Refrain]
And the thunder rolls
And the thunder rolls

[Verse 2]
Every light is burnin' in a house across town
She's pacin' by the telephone in her faded flannel gown
Askin' for a miracle, hopin' she's not right
Prayin' it's the weather that's kept him out all night

[Refrain]
And the thunder rolls
And the thunder rolls

[Chorus]
The thunder rolls, and the lightnin' strikes
Another love grows cold on a sleepless night
As the storm blows on out of control
Deep in her heart the thunder rolls

[Verse 3]
She's waitin' by the window when he pulls into the drive
She rushes out to hold him, thankful he's alive
But on the wind and rain a strange new perfume blows
And the lightnin' flashes in her eyes, and he knows that she knows

[Refrain]
And the thunder rolls
And the thunder rolls

[Chorus]
The thunder rolls, and the lightnin' strikes
Another love grows cold on a sleepless night
As the storm blows on out of control
Deep in her heart the thunder rolls

[Verse 4]
She runs back down the hallway, and through the bedroom door
She reaches for the pistol kept in the dresser drawer
Tells the lady in the mirror, ""He won't do this again""
'Cause tonight will be the last time she'll wonder where he's been

[Chorus]
The thunder rolls, and the lightnin' strikes
Another love grows cold on a sleepless night
As the storm blows on out of control
Deep in her heart the thunder rolls

"
1507,The Oak Ridge Boys,11,Lucky Moon,1991,"

I was there in the very next room
She thought I was down the hall
She was talking on the phone like women do
She didn't know I could hear at all

I heard her say to her very best friend
He doesn't love me like I did back then
She said lately I've been so alone
So tomorrow morning I'll be gone

Lucky moon stay out tonight, sunlight stay away
I've got one more chance to make things right
We've gotta make her want to stay
It's up to me and you, lucky moon

Make reservations at her favourite restaurant
Candle light and expensive wine
Try to let her know that she's the one that I want
Gotta show her while I've still got time

I can't believe how stupid I've been
God knows I love her like I did back then
Better take to heart her warning
Somehow change her mind by morning

Lucky moon stay out tonight, sunlight stay away
I've got one more chance to make things right
We've gotta make her want to stay
It's up to me and you, lucky moon

The first star I see tonight
I wish I may, I pray she might
Find a little magic in the moonlight

Lucky moon stay out tonight, sunlight stay away
I've got one more chance to make things right
We've gotta make her want to stay

Lucky moon stay out tonight, sunlight stay away
I've got one more chance to make things right
We've gotta make her want to stay
It's up to me and you, lucky moon

Lucky moon
Lucky moon

"
1508,Clint Black,12,One More Payment,1991,"

[Verse 1]
Ain't that the way the luck goes
Seems like it never can be found
Break my back to make those bank notes
Payin' on an almost always broken down
Fix that car nine ways to Sunday
And it won't start again when Monday rolls around

[Verse 2]
Ain't that the way the rent goes
Seems like it's never goin' down
And that banker's bound to foreclose
At this rate, I'll lose my interest in this town
Paint the walls, mend the windows
'Bout the time the roof comes crumblin' to the ground

[Chorus]
I've been footin' the bill for some time
Stretchin' my credit out of line
Well I may not get ahead but now I won't be far behind
I've got one more payment and it's mine
We're gonna swing it

[Verse 3]
Ain't that the way the heart goes
Seems they just attack without a sign
My mind's been on vacation
And my body's been workin' overtime
But I've done all that I can do
There's just one more balance due before it's mine

[Chorus]
I've been footin' the bill for some time
Step by step and line by dotted line
Well I haven't bought the farm yet but I'm not that far behind
I've got one more payment and it's mine

[Tag]
One more payment and it's mine
One more payment and it's mine
One more, one more, one more Lord

"
1509,Kathy Mattea,13,Time Passes By,1991,"

Dreams drift away like leaves on the water
They roll down the river and slip out of sight
Too many times we do what we ought
Put off 'till tomorrow what we'd really rather do tonight
And later realize

Time passes by
People pass on
At the drop of a tear
They're gone
Let's do what we dare
Do what we like
And love while we're here
Before time passes by

Thoughts are like pennies we keep in our pockets
They're never worth nothing 'til we give them away
Love's like a promise in an unopened letter
Where nights full of pleasure seldom see the light of day
When life gets in the way

Time passes by
People pass on
At the drop of a tear
They're gone
Let's do what we dare
Do what we like
And love while we're here
Before time passes by

Time passes by
People pass on
At the drop of a tear
They're gone
Let's do what we dare
Do what we like
And love while we're here
Before time passes by

"
1510,Lorrie Morgan,14,We Both Walk,1991,"

[Verse 1]
Here you are on the porch again
With your hat in your hand and a guilty grin
Baby I ain't gonna fall for that, just because I always have
And I'm not the only one who won't be taken it

[Chorus]
Don't you try to come through my door
I can't watch you leave anymore
When you go we both walk
When you go we both walk
You walk away and I walk the floor

[Verse 2]
Whenever you get that itch to go
You think I just sit and wait at home
But I've walked miles behind these walls
Without getting anywhere at all
And I think I've had enough of going down that road

[Chorus]
Don't you try to come through my door
I can't watch you leave anymore
When you go we both walk
When you go we both walk
You walk away and I walk the floor

[Chorus]
Don't you try to come through my door
I can't watch you leave anymore
When you go we both walk
When you go we both walk
You walk away and I walk the floor
You walk away and I walk the floor

"
1511,Alabama,15,Down Home,1991,"

[Verse 1]
Just off of the beaten path
A little dot on a state road map
That's where I was born and where I'll die
Things move at a slower pace
Nobody's in the rat race
And these days, that's a special way of life

(Chorus)
Down home
Where they know you by name and treat you like family
Down home
A man's good word and a handshake are all you need
Folks know
If they're fallin' on hard times, they can fall back on
Those of us raised up down home

[Verse 2]
In the corner of the hardware store
Gathered 'round a checker board
Old men tellin' lies and crownin' kings
Kids drivin' 'round the old town square
Cops roll down in the cool night air
Go and see what's shakin' at the Dairy Queen

(Chorus)
Down home
Where they know you by name and treat you like family
Down home
A man's good word and a handshake are all you need
Folks know
If they're fallin' on hard times, they can fall back on
Those of us raised up down home

[Bridge]
When I was a boy, I couldn't wait to leave this place
But now I wanna see my children raised
Down home
Down home

[Chorus]
Folks know
If there fallin' on hard times, they can fall back on
Those of us raised up
Down home
Where they know you by name and treat you like family
Down home
A man's good word and a handshake are all you need
Folks know
If they're fallin' on hard times, they can fall back on
Those of us raised up down home

[Outro]
Down home
Way down home
Down home
Down home
Way down home
Down home

"
1512,Travis Tritt,16,Drift Off To Dream,1991,"

(Travis Tritt/Stewart Harris)

I sit here surrounded by people and lights
Alone with my drink at the bar
You've been here forever, so clear in my mind
I just don't know where you are
I know I'll find you but girl 'til I do
This is my love song for you

Let's hold hands on the porch swing, under the moon
While the wind through the willows plays us a tune
We can lie on a blanket, out back in the yard
And wish for our future on a faraway star
You'll feel the passion as time after time
I press your sweet lips to mine
Then we'll dance to the radio, right up 'til dawn
'Til you drift off to dream in my arms

You might be hundreds or more miles away
Or you might be just down the street
But there'll be a hunger deep in your eyes
That I'll recognize when we meet
It might take hours or it might take years
But this is the song you will hear

Let's hold hands on the porch swing, under the moon
While the wind through the willows plays us a tune
We can lie on a blanket, out back in the yard
And wish for our future on a faraway star
You'll feel the passion as time after time
I press your sweet lips to mine
Then we'll dance to the radio, right up 'til dawn
'Til you drift off to dream in my arms

"
1513,Randy Travis,17,Point Of Light,1991,"

There is a point when you cannot walk away
When you have to stand up straight and tall and mean the word you say
There is a point you must decide, just to do it 'cause it's right
That's when you become a point of light
There is a darkness that everyone must face
It wants to take what's good and fair and lay it all to waste
And that darkness covers everything in sight
Until it meets a single point of light
All it takes is a point of light
A ray of hope in the darkest night
If you see what's wrong and you try to make it right
You will be a point of light
There are heroes, whose names we never hear
A dedicated army of quiet volunteers
Reaching out to feed the hungry, reaching out to save the land
Reaching out to help their fellow man
There are dreamers, who are making dreams come true
Taking time to to teach the children, there's nothing they can't do
Giving shelter to the homeless, giving hope to those without
Isn't that what this land's all about?
One by one, from the mountains to the sea
Points of light are calling out to you and me
All it takes is a point of light
A ray of hope in the darkest night
If you see what's wrong and you try to make it right
You will be a point of light
If you see what's wrong and you try to make it right
You will be a point of light

"
1514,The Judds,18,One Hundred And Two,1991,"

There's one hundred and one
Little reasons why
I should leave you here
Say goodbye
But I just can't seem
To say we're through
And the reasons why
Are one hundred and two

One hundred and one
Little tears fall
And every drop
Makes me feel so small
But as hard as I try
I can't leave you
And the reasons why, baby
Are one hundred and two

I'm countin' up
The times I've cried
The times you'd leave
The times you lied
And everyday
I'm keeping score
When it all adds up
I need you more

One hundred and one
Lonely nights
You leave me here
Now, honey, that ain't right
But, still I forgive
Everything you do
And the reasons why
Are one hundred and two

Yeah, the reasons why baby
Are one hundred and two

There's one hundred and one
Little reasons why
But, one hundred and two
Keeps me by your side

"
1515,Tanya Tucker,19,Oh What It Did To Me,1991,"

I saw you tonight
In her arms so tight
I watched as she held you tenderly

You say when she held you
It did nothing to you
But oh, what it did to me

You say when she kissed you
You didn't feel a thing
Well, I felt enough for all three

You want me to believe
It did nothing to you
But oh, what it did to me

And I felt the warm tears
Roll slowly down my face
As I watched another
Slowly take my place

And now it's all over
You want me to forget
And pretend that things are like they used to be

That it was just a kiss
That did nothing to you
But oh, what it did to me

You want me to believe
It did nothing to you
But oh, what it did to me, to me

"
1516,Highway 101,20,Bing Bang Boom,1991,"

[Verse 1: Nikki Nelson]
Gather around me and lend an ear
'Cause I got something you ought to hear
I'm telling you that you ought to fear
A certain kind of love

[Verse 2: Nikki Nelson]
Now it can strike in the day or night
And just as quick as a rattler's bite
You've got a case of love at first sight
And it's what you're dyin' of

[Chorus #1:  Nikki Nelson, Cactus Moser, Curtis Stone, Jack Daniels]
It's just bing bang boom, one two three
You're feeling normal as you can be
And then bing bang boom, lickety split
It doesn't come on bit by bit
It gets instantly in full swing
And it's bing bang boom

[Verse 3: Nikki Nelson]
Now I was footloose and fancy free
I had respect, I had dignity
Then this thing got a hold of me
And it still will not let go

[Verse 4: Nikki Nelson]
I walked in and my heartbeat jumped
My hair stood up and my skin goosebumped
My mind went blank and my IQ slumped
And my judgment hit the road

[Chorus #2: Nikki Nelson, Cactus Moser, Curtis Stone, Jack Daniels]
It was bing bang boom, one two three
I fell the second he looked at me
It was bing bang boom, lickety split
It didn't come on bit by bit
It was instantly in full swing
It was bing bang boom

[Verse 5: Nikki Nelson]
And now my obligations slide
I do not even care
And I spend all my waking hours
Walking on thin air

[Nikki, Cactus, Curtis, Jack]
So friends you'd best beware

[Verse 6: Nikki Nelson]
'Cause that's exactly how you'll behave
If you get hit with this tidal wave
And you won't even have time to save
Your sinking sanity

[Chorus #1: Nikki, Cactus, Curtis, Jack]
It's just bing bang boom, one two three
You're feeling normal as you can be
And then bing bang boom, lickety split
It doesn't come on bit by bit
It gets instantly in full swing
And it's bing bang boom
Bing bang boom
Bing bang boom
Bing bang boom

[Nikki Nelson]
It gets instantly in full swing
And it's bing bang boom

"
1517,Pirates Of The Mississippi,21,Feed Jake,1991,"

[Verse 1]
I'm standing at the crossroads in life, and I don't know where to go
You know you've got my heart babe, but my music's got my soul
Let me play it one more time, I'll tell the truth and make it rhyme
And hope they understand me

[Chorus]
Now I lay me down to sleep, I pray the Lord my soul to keep
If I die before I wake, feed Jake, he's been a good dog
My best friend right through it all, if I die before I wake
Feed Jake

[Verse 2]
Now Broadway's like a sewer, bums and hookers everywhere
Wino passed out on the sidewalk, doesn't anybody care?
Some say he's worthless, just let him be
But I for one would have to disagree
And so would their mamas

[Chorus]
Now I lay me down to sleep, and pray the Lord my soul to keep
If I die before I wake, feed Jake, he's been a good dog
My best friend right through it all, if I die before I wake
Feed Jake

[Verse 3]
Now If you get an ear pierced, some will call you gay
But if you drive a pick-up, they'll say ""No, you must be straight""
What we are and what we ain't, what we can and what we can't
Does it really matter?

[Chorus]
Now I lay me down to sleep, and pray the Lord my soul to keep
If I die before I wake, feed Jake, he's been a good dog
My best friend right through it all, if I die before I wake
Feed Jake
If I die before I wake, feed Jake (x3)

"
1518,Alan Jackson,22,Don't Rock The Jukebox,1991,"

[Chorus]
Don't rock the jukebox
I wanna hear some Jones
'Cause my heart ain't ready
For the Rolling Stones
I don't feel like rocking
Since my baby's gone
So don't rock the jukebox
Play me a country song

[Verse 1]
Before you drop that quarter
Keep one thing in mind
You got a heart-broke hillbilly
Standing here in line
I've been down and lonely
Ever since she left
Before you punch that number
Could I make one request

[Chorus]
Don't rock the jukebox
I wanna hear some Jones
'Cause my heart ain't ready
For the Rolling Stones
I don't feel like rocking
Since my baby's gone
So don't rock the jukebox
Play me a country song

[Verse 2]
I ain't got nothing
Against rock and roll
But when your heart's been broken
You need a song that's slow
Ain't nothing like a steel guitar
To drown a memory
Before you spend your money baby
Play a song for me

[Chorus]
Don't rock the jukebox
I wanna hear George Jones
'Cause my heart ain't ready
For the Rolling Stones
I don't feel like rocking
Since my baby's gone
So don't rock the jukebox
Play me a country song

[Outro]
Yeah, don't rock the jukebox
Play me a country song

"
1519,Mike Reid,23,Till You Were Gone,1991,
1520,Pam Tillis,24,One Of Those Things,1991,"

There's no mistakin' what's taken place here
I can't pretend anymore
You know that I love you, but its not enough
To keep you away from my door
Now its too late to wonder what's left to be tried
Your mind's made up and my hands are tied

It's just one of those things
That I can't do nothing about
Your love is something that
I'm gonna have to learn to live without
I could beg, I could plead and get down on my knees
But I think I've finally figured it out
It's just one of those things
I can't do nothing about

So bring on the tears and bring on the heartaches
Let me get on with my pain
If this is good-bye then let's get it over
There's nothing left to explain
Now God knows I've tried, I've tried for so long
What's left of my heart will have to be strong

It's just one of those things
That I can't do nothing about
Your love is something that
I'm gonna have to learn to live without
I could beg, I could plead and get down on my knees
But I think I've finally figured it out
It's just one of those things
I can't do nothing about

Well it's all I can stand, but it's out of my hands
Your leaving is leaving more room for doubt
It's just one of those things
I can't do nothing about

"
1521,Mark O'Connor & The New Nashville Cats,25,Restless,1991,
1522,Carlene Carter,26,The Sweetest Thing,1991,"

In the stillness of the dawn
Our love is dead and gone
The sunrise warms my heart
With memories of you
It's the sweetest thing - remembering

There's a picture in the hall
That I'm leaving on the wall
'Cause there's a look in your eyes
That always made me fall apart
It's the sweetest thing - remembering

When I close my eyes to cry
I can't help but feel a smile
'Cause I think of you and I forget
It hurt to say goodbye

Chorus:
But after all that we've been through
It's amazing to me
The sweetest thing's remembering
Oh the sweetest thing - remembering

We wanted love to last forever
And the good lord knows we tried
But when the rain came pouring down
There was no place left to hide

Chorus:
It's the sweetest thing - remembering

"
1523,Ricky Van Shelton,27,I Am A Simple Man,1991,"

I don't know why you want to start with me
I ain't n-n-nothing far as I can see
And I'm worn out from working too hard
Why don't you give me a break?

I know that lately things ain't been so good
I'll make it up just like I told you I would
But I'm tired and I want to sit down
To ease this old backache

You say you're having trouble figuring me
I don't believe I'm such a mystery
Mmm baby, what you get is what you see
I am a simple man

I want a job and a piece of land
Three squares in my frying pan
Don't seem so hard for me to understand
I am a simple man

You say we've got some things to talk about
A lot of problems that we need to work out
But we just wind up fighting
Why don't you give it a rest?

I don't know what else I can say to you
I'm doing everything I know to do
And I can't give you anything more
When I'm giving my best

You say you're having trouble figuring me
I don't believe I'm such a mystery
Mmm baby, what you get is what you see
I am a simple man

I want a job and a piece of land
Three squares in my frying pan
Don't seem so hard for me to understand
I am a simple man

I want a place I can lay my head
Soft woman and a warm bed
A little time off before I'm dead
I am just a simple man

You say you're having trouble figuring me
I don't believe I'm such a mystery
Mmm baby, what you get is what you see
I am a simple man

I want a job and a piece of land
Three squares in my frying pan
Don't seem so hard for me to understand
I am a simple man

"
1524,McBride & The Ride,28,Can I Count On You,1991,"

[Verse 1]
You were there, the first time I stumbled
Will you be there each time I fall
Will you care for me forever
Darling promise you will love me most of all

[Chorus]
You can count on me, I'll be true
Do you feel the same way I do
When times get hard, will you see me through
What I need to know, can I count on you

[Verse 2]
When the years have turned my hair to silver
Will you still wear that band of gold
Say you'll be here always beside me
Will I still have your hand to hold

[Chorus]
You can count on me, I'll be true
Do you feel the same way I do
When times get hard, will you see me through
What I need to know, can I count on you

[Tag]
What I need to know, can I count on you

"
